url,segment_no,cumle_icerigi,sozcuk_sayisi
https://www.canlihaber.com/ekonomi/benzin-ve-motorinde-litre-fiyatina-indirim-h4229.html,2,Bu indirim oranlarının pompa fiyatlarına yansıyacağı bildirildi.,7
https://www.canlihaber.com/ekonomi/benzin-ve-motorinde-litre-fiyatina-indirim-h4229.html,3,"Benzinin Litresi Ne Kadar Olacak   Benzinin litre fiyatına bu gece yarısından itibaren yapılacak 7 kuruşluk indirimin ardından Ankarada ortalama 5 61 liradan satılan benzinin litre fiyatı 5 54 liraya inecek.",30
https://www.canlihaber.com/ekonomi/benzin-ve-motorinde-litre-fiyatina-indirim-h4229.html,4,İstanbulda ise ortalama 5 47 liradan satılan benzinin litre fiyatı 5 40 liraya İzmirde de ortalama 5 65 liradan satılan benzinin litre fiyatı 5 58 liraya inecek.,27
https://www.canlihaber.com/ekonomi/benzin-ve-motorinde-litre-fiyatina-indirim-h4229.html,5,Motorinin Litresi Ne Kadar Olacak Motorinin litre fiyatına bu gece yarısından itibaren gelecek 12 kuruşluk indirimden sonra Ankarada ortalama 5 36 liradan satılan motorinin litre fiyatı 5 24 liraya inecek.,30
https://www.canlihaber.com/ekonomi/benzin-ve-motorinde-litre-fiyatina-indirim-h4229.html,6,İstanbulda ise ortalama 5 28 liradan satılan motorinin litre fiyatı 5 16 liraya İzmirde de ortalama 5 39 liradan satılan motorinin litre fiyatı 5 27 liraya inecek.,27
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,1, Sağlık Bakanlığı tarafından günlük olarak açıklanan kkoronavirüs tablosuna göre son 24 saat içinde koronavirüs sebebiyle hayatını kaybeden kişi sayısı 55 olarak aktarıldı.,22
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,2,Bugün belirlenen vaka sayısı ise 1.,6
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,3,635 olarak açıklandı.,3
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,4,Bakanlığın verilerine göre son 24 saat içinde toplam 34.,9
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,5,821 koronavirüs testi yapılırken bugün iyileşen hasta sayısı ise 2.,10
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,6,315 olarak belirtildi.,3
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,7,Toplam Vefat Sayısı Kaç Oldu Sağlık Bakanı Fahrettin Koca Bakanlık tarafından günlük olarak güncellenen koronavirüs tablosunu sosyal medya hesabından paylaştı.,20
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,8,Bakan Kocanın paylaştığı tabloda  son 24 saatte 55 vatandaşımızın daha koronavirüs sebebiyle hayatını kaybettiği görülürken son rakamlarla beraber toplam vefat eden hasta sayısının 4.,24
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,9,007ye ulaştığı aktarıldı.,3
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,10,Toplam Vaka Sayısı Öte yandan bugün yapılan 34.,8
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,11,821 koronavirüs testi sonucunda 1.,5
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,12,635 yeni vaka tespit edildi.,5
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,13,Tespit edilen yeni vakalarla beraber toplam vaka sayısı 144.,9
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,14,749a ulaştı.,2
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,15,"Toplam İyileşen Hasta Sayısı   Bakanlığın güncellediği verilere göre bugün iyileşen hasta sayısı 2.",13
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,16,315 olarak belirtildi.,3
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,17,Son eklenen rakamlarla beraber koronavirüsü yenerek sağlığına kavuşan hasta sayısı toplamda 104.,12
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,18,030 oldu.,2
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,19,Toplam Yoğun Bakım ve Entübe Hasta Sayısı Koronavirüs sebebiyle yoğun bakımda tedavi gören toplam hasta sayısı 963 olarak aktarılırken toplam entübe hasta sayısı ise 508 olarak belirtildi.,27
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,20,Sağlık Bakanı Kocadan Açıklama Sosyal medya hesabından güncel koronavirüs tablosunu yayınlayan Sağlık Bakanı Fahrettin Koca Türkiyenin yoplam test sayısında 1 5 milyonu geçtiğini duyurdu.,24
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,21,Yoğun bakım ve entübe hasta sayısının azalmaya devam ettiğini söyleyen Bakan Koca toplam vaka sayısında iyileşme oranının yüzde 71 8 olduğunu ifade etti.,23
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,22,Yeni hayat tarzının Kontrollü Sosyal Hayat olduğunu söyleyen Sağlık Bakanı Yani hep birlikte tedbir.,14
https://www.canlihaber.com/gundem/14-mayis-2020-turkiye-koronavirus-vaka-ve-olu-sayisi-h4228.html,23,Koşulu: Maske + 1 5 metre Sosyal Mesafe dedi.,10
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,1, Survivor 2020 ünlüler takımı yarışmacısı ünlü futbolcu Sercan Yıldırım ın yarışmada Nisa ile adının aşk dedikodularına karışmasının ardından sevgilisi tarafından terk edildiği iddia edildi.,24
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,2,Survivor yarışmasında rakip takımdan Nisa Bölükbaşı na karşı duygusal bir şeyler hissetmesiyle gündeme gelen Sercan Yıldırım ın bir süredir birlikte yaşadığı Elif Aydın tarafından terk edildiği iddialarının ardından herkes Sercan Yıldırım ın Survivor yarışmasında olduğu sıralarda bir sevgilisi olup olmadığını araştırmaya başladı.,42
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,3,Peki Sercan Yıldırımın sevgilisi Elif Aydın kimdir Elif Aydın Sercan Yıldırım ı terk mi etti İşte detaylar… Sevgilisi Tarafından Terk Edildiği İddia Edildi Survivor 2020 de ünlüler takımı kadrosunda yer alan Bursaspor ve Galatasaray da forma giyen futbolcu Sercan Yıldırım şimdilerde aşk hayatıyla magazin manşetlerinde yer alamaya başladı.,48
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,4,Hala Survivor yarışmasında ter döken ve gönüllüler takımında yarışan Nisa Bölükbaşı ile arasında yakınlaşma olan Sercan Yıldırım ın sevgilisi Elif Aydın tarafından terk edildiği öne sürüldü.,26
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,5,Elif Aydın dan Açıklama Sercan Yıldırım ve Elif Aydın hakkında çıkan haberlere Elif Aydın tarafından açıklama geldi.,17
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,6,Sercan Yıldırım ile ilişkilerinin Survivor dan önce bittiğini söyleyen Elif Aydın Survivor da Nisa ile çıkan aşk haberlerinin ardından İstanbul da beraber yaşadıkları evden Sercan ı kovdu şeklindeki haberlerin gerçeği yansıtmadığını söyledi.,32
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,7,Elif Aydın Kimdir Sercan Yıldırım ın Survivor 2020 yarışmasına gitmeden önce ilişkisini noktaladığı belirtilen Elif Aydın hakkında ne yazık ki net bir bilgi bulunmuyor.,24
https://www.canlihaber.com/magazin/survivor-sercan-yildirimin-sevgilisi-var-mi-sercan-yildirimin-h4227.html,8,Sercan ile bir ilişki yaşadıklarını ancak bu ilişkinin Survivor öncesinde noktalandığını söyleyen Elif Aydın ın birliktelik döneminde ünlü futbolcu ile Zekeriyaköy de lüks bir villada beraber yaşadığı yaşadığı öğrenildi.,29
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,1, Ramazan Bayramı na sayılı günler kala herkes Bayramda sokağa çıkma yasağı uygulanıp uygulanmayacağını merak etmeye başlamıştı.,16
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,2,Sağlık Bakanı Fahrettin Koca dün Bilim Kurulu Toplantısı sonrasında yaptığı açıklamalarda salgının ilerleyen günlerdeki seyrine göre yasak olup olmayacağının kararına varılacağını söylemişti.,22
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,3,Cumhurbaşkanı Recep Tayyip Erdoğan ise AK Parti Kurmaylarını Bayramda yasak gelmesi durumunda vatandaşların tepkisinin ne olacağını ölçmek amacıyla bir araştırma yapmaları için görevlendirdi.,23
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,4,Yapılan araştırmalarda vatandaşların yasağı desteklediği belirlenirken Bilim Kurulu ndan gelen talebinde yasağın uygulanması yönünde olmasıyla Ramazan Bayramı nda 23-24-25-26 Mayıs tarihlerinde sokağa çıkma yasağı ilan edilmesi gündem konusu haline geldi.,30
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,5,"Vatandaşlar Destekledi   Geçtiğimiz gün Cumhurbaşkanı Erdoğan ın başkanlığında yapılan AK Parti toplantısında gündem konularından biri Ramazan Bayramı nda sokağa çıkma yasağı olup olmamasıydı.",23
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,6,Koronavirüs salgını sürecindeki normalleşme sürecinin de ele alındığı toplantıda Hürriyet gazetesinin haberine göre Cumhurbaşkanı Erdoğan ın daha önce görevlendirdiği AK Parti Kurmayları yaptıkları araştırmalarda vatandaşların bayramda sokağa çıkma yasağı uygulamasını desteklediklerini Erdoğan a ilettikleri öğrenildi.,35
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,7,Öte yandan Bilim Kurulu nun da Bayramda yasak olmasına dair görüşlerini iletmesi sonucunda 23-24-25-26 Mayıs tarihlerinde sokağa çıkma yasağı olabileceği konusu gündeme gelmiş oldu.,24
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,8,Türkiye nin Uygulayacağı V Modeli Ne AK Parti Toplantısı nda ekonomik gelişmelerinde ele alındığı öğrenilirken salgın sürecinde Türkiye ve diğer ülkelerin durumunun karşılaştırıldığı belirtildi.,24
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,9,Söz konusu toplantıda L U ve V modelleri ele alınırken Fransa ve Hollanda nın U Almanya nın ise V seviyesinde olduğu değerlendirildi.,22
https://www.canlihaber.com/gundem/bayramda-4-gun-sokaga-cikma-yasagi-uygulanacak-v-modeli-nedir-h4226.html,10,Pandemi sürecindeki başarısı dünya geneline kadar ulaşan Türkiye nin V modeli olmayı hedeflediği öğrenilirken bu süreçte hem üretim hem de turizmin çok önemli olduğu aynı zamanda da her konuda en hassas en emin adımlar atıldığı aktarıldı.,36
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,1, Ekranların sevilen ismi Zuhal Topal ın muhteşem sunumuyla hafta içi her gün evlerinize konuk olan ve birbirinden iddialı yarışmacılarla büyük bir lezzet şöleni yaşatan Zuhal Topal la Sofrada nın yeni haftasında yeni yarışmacılar yine bomba gibi tarifler ve en iyi menüyü çıkararak en yüksek puanları toplamak için yarışıyor.,48
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,2,Haftanın finaline ve büyük ödülün kazananının belli olmasına sadece 1 gün kala neler yaşanacağı merakla beklenirken bugün Zuhal Topal la Sofrada nın yeni bölümünde yarışan isim Feride Aksoy olacak.,29
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,3,"Peki Zuhal Topal la Sofrada 14 Mayıs 2020 Feride Hanım kaç puan aldı Zuhal Topal la Sofrada 14 Mayıs 2020 puan tablosu nasıl oldu İşte detaylar… Zuhal Topal la Sofrada Feride Aksoy Kimdir   Zuhal Topal la Sofrada 14 Mayıs 2020 Perşembe günü yarışmacısı olan Feride Aksoy herkes tarafından merak edilmeye ve araştırılmaya başlandı.",53
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,4,22 yaşında ve 3 yıllık evli olan Feride Hanım 1 çocuk annesi.,12
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,5,Feride Hanım yarışmaya kayınvalidesi Nezahat Aksoy ile beraber katıldı.,9
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,6,Yemek konusunda büyük bir iddiaya sahip olduğunu ve bugün yaptığı yemeklerin rakip kayınvalideler tarafından çok beğenileceğinden emin olduğunu söyleyen yarışmacı en yüksek puanı da kendisinin alacağından emin.,27
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,7,Zuhal Topal la Sofrada 14 Mayıs 2020 Feride Hanımın Puanı Zuhal Topal la Sofrada 14 Mayıs 2020 Perşembe gününde yarışan Feride Hanımın puanı henüz belli olmadı.,26
https://www.canlihaber.com/eglence/zuhal-topalla-sofrada-14-mayis-2020-gunun-puani-h4225.html,8,Rakip kayınvalideler Feride Hanımın yemeklerinin tadına bakıp puanlarını verdikten sonra detayları sizlerle paylaşacağız…,12
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,1, Antalya da otomobilin üzerini teras yapıp mangal yaparak gezen gençler emniyet güçlerinin harekete geçmesine neden oldu.,16
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,2,Kısa sürede gençleri yakalayan polis ekipleri 6 bin lira ceza kesti.,11
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,3,Antalya da otomobilinin üzerini teras gibi yaptıran ve mangal yakıp gezen gençler emniyet güçlerini harekete geçirdi.,16
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,4,Kısa bir süre sonra polis ekiplerince yakalanan gençler 6 bin liralık cezadan kurtulamadı.,13
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,5,"Daha Öncede Arabanın İçini Havuz Yaptığı Ortaya Çıktı   Antalya da otomobilinin üzerini teras gibi yaptıran ve mangal yakarak gezip dolaşan Murat Tokmak emniyet güçlerini harekete geçirdi.",26
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,6,Kısa bir sürede otomobiliyle gezerken yakalanan araç sahibi Murat Tokmak ve şoför Mehmet Şahin e 6 bin lira para cezası uygulandı.,21
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,7,Otomobili çekilirken tepki gösteren Tokmak içkisi ve kumarı olmadığını ve parasını bu şekilde harcadığını söyleyerek kendisini savundu.,17
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,8,Tokmak ın daha önce ise otomobilinin içerisini havuz yaptırdığı ve bu yüzden de otomobilinin bağlandığı ve 2 bin 500 lira para cezası ödedi ortaya çıktı.,25
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,9,Devletin Kestiği Parmak Acımaz Cezai işlemin uygulanmasının ardından olayı görüntüleyen gazetecilere açıklamalarda bulunan araç sahibi Murat Tokmak başka projelerinin de olduğunu söyledi.,22
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,10,Arabayı eğlenmek için bu hale getirdiklerini söyleyen Tokmak devletin kestiği parmağın acımadığını ne ceza kesilirse kesilsin ödeyeceğiniz söyledi.,18
https://www.canlihaber.com/gundem/otomobilin-ustune-teras-yapip-mangal-yapan-gencler-cezadan-kurtulamadi-h4224.html,11,Yeteri kadar eğlendiklerini de belirten Tokmak parasını içkisi ve kumarı olmadığı için böyle şeylere harcadığını söyledi.,16
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,1, Yönetim kurulu futbolcular teknik ekip ve tesis çalışanlarına korona virüs testi yaptıran Beşiktaş ta başkan Ahmet Nur Çebi nin de virüse yakalandığı açıklandı.,23
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,2,Yönetim kurulu tesis çalışanları ve futbolcular ile birlikte teknik ekibe korona virüs testi yaptıran Beşiktaş kulübünde başkan Ahmet Nur Çebi nin de virüse yakalandığı açıklandı.,25
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,3,İlk Önce 2 Kişinin Testi Pozitif Çıkmıştı 15 gün önce gruplar hallinde antremanlara başlayan Beşiktaş ta futbolcular ve teknik heyete korona virüs testi yapılmış bir oyuncu ile teknik servisin testlerinin pozitif çıkmasından dolayı antremanlar iptal edilmişti.,36
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,4,"Ahmet Nur Çebi nin Testi Pozitif Çıktı   Bu olaydan 6 gün geçmesinin ardından ise Beşiktaş ta yönetim kurulu futbolcular teknik ekip ve tesis çalışanları bugün Sağlık Bakanlığı yetkilileri tarafından yeniden korona virüs testine tabi tutuldular.",35
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,5,Yapılan testler sonucunda ise 8 kişinin daha korona virüs testi pozitif çıktı.,12
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,6,Sosyal medya hesabından bir yazılı açıklama yapan siyah beyazlılar başkan Ahmet Nur Çebi nin de korona virüs testinin pozitif çıktığını duyurdu.,21
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,7,Çebi nin tedavisine ise hemen başlandığı belirtildi.,7
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,8,Toplamda vaka sayısı 10 a ulaşan siyah beyazlılar Cuma günü itibariyle tesiste yapılacak olan ilk etap 4 günlük kampı iptal etti.,21
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,9,Pozitif vakaların artmasından dolayı ise Nevzat Demir tesislerinin karantinaya alınabileceği öğrenildi.,11
https://www.canlihaber.com/spor/besiktas-baskani-ahmet-nur-cebi-korona-viruse-yakalandi-h4223.html,10,Fenerbahçe den Geçmiş Olsun Mesajı Beşiktaş kulübünün başkan Ahmet Nur Çebi nin içerisine bulunduğu 8 kişinin korona virüs testinin pozitif çıktığını açıklamasının Fenerbahçe de resmi sosyal medya hesabından bir açıklama yaptı ve geçmiş olsun dileklerinde bulundu.,36
https://www.canlihaber.com/gundem/nisan-merasiminin-bilancosu-agir-50-kisinin-testi-pozitif-cikti-h4222.html,1, Vanda kurulan taziye çadırı ve Sakaryadaki taziye evi ziyareti skandallarında onlar kişinin yeni tip koronavirüs testi pozitif çıkmış ve bu kişilerin tedavi sürecine başlanmıştı.,24
https://www.canlihaber.com/gundem/nisan-merasiminin-bilancosu-agir-50-kisinin-testi-pozitif-cikti-h4222.html,2,Ancak yeterince ders almıyor ya da yeni tip koronavirüsü çok küçümsüyor olacağız ki bir skandal haberde Kahramanmaraşın Afşin ilçesinden geldi.,20
https://www.canlihaber.com/gundem/nisan-merasiminin-bilancosu-agir-50-kisinin-testi-pozitif-cikti-h4222.html,3,Afşin ilçesinde nişan merasimine katılan davetlilere yapılan yeni tip koronavirüs testi sonucunda 50 kişinin koronaviürs testinin pozitif çıktığı bildirildi.,19
https://www.canlihaber.com/gundem/nisan-merasiminin-bilancosu-agir-50-kisinin-testi-pozitif-cikti-h4222.html,4,"Mahalle Karantinaya Alındı   Afşin ilçesindeki Hüyüklü Mahallesinde yapılan nişan merasiminin bilançosu çok ağır oldu.",14
https://www.canlihaber.com/gundem/nisan-merasiminin-bilancosu-agir-50-kisinin-testi-pozitif-cikti-h4222.html,5,Nişan merasimine katılan 50 kişinin yeni tip koronavirüs testi pozitif çıkınca devreye giren Afşin Hıfzıssıhha Kurulu tarafından alınan karar ile mahalle karantinaya alındı.,23
https://www.canlihaber.com/gundem/nisan-merasiminin-bilancosu-agir-50-kisinin-testi-pozitif-cikti-h4222.html,6,8 Mayıs 2020 tarihinden beri karantina altında olan mahallede pozitif vaka sayısı her geçen gün artıyor.,16
